subject,custom_identifier,label,format,date_text,year_published_from,year_published_to,place,book_type,coordinates,languages,authors,publishers
http://sphaera.mpiwg-berlin.mpg.de/id/item/cc1f70ce-e3cf-43ef-bad8-5a8d0b1b9576,2241,Isagoge sphaerica methodice,Octavo,,1581,1581,Frankfurt (Main),Adaption (treatise strongly influenced by original tract),"50.113611111, 8.679722222",Latin,"Scribonius, Wilhelm Adolf","Wechel, André"
http://sphaera.mpiwg-berlin.mpg.de/id/item/b6d66d26-e649-4465-a762-42bda5cf2e47,1960,Sphaera Ioannis de Sacro Bosco emendata,Octavo,,1581,1581,Cologne,Annotated original text and compilation of texts,"50.942222222, 6.957777777",Latin,"Sacrobosco, Johannes de;Vinet, Élie;Hero, Albertus;Nunes, Pedro;Valeriano, Pierio","Cholinus, Maternus"
http://sphaera.mpiwg-berlin.mpg.de/id/item/75ab376c-0227-4ad7-b9f5-2fb796d5afb8,2258,Speculum astrologiae,Folio,,1581,1581,Lyon,Annotated original text and compilation of texts,"45.758888888, 4.841388888",Latin,"Giuntini, Francesco","Béraud, Symphorien"
http://sphaera.mpiwg-berlin.mpg.de/id/item/1cc43766-934e-40d2-b2a5-9788b0073831,1958,"Sphaera Ioannis de Sacro Bosco, emendata",Octavo,,1582,1582,Antwerp,Annotated original text and compilation of texts,"51.217777777, 4.400277777",Latin,"Sacrobosco, Johannes de;Vinet, Élie;Hero, Albertus;Giuntini, Francesco","Bellère I., Pierre"
http://sphaera.mpiwg-berlin.mpg.de/id/item/1c792162-734b-4aad-906f-6b0d20d81141,2178,De sphaera et primis astronomiae rudimentis libellus,Octavo,,1582,1582,,Adaption (treatise strongly influenced by original tract),,Latin,"Blebel, Thomas",
http://sphaera.mpiwg-berlin.mpg.de/id/item/a5ac97ab-ac78-4c7b-87bf-9f7aaec5f54d,1854,"La sfera del mondo, Di M. Francesco Giuntini, Dottore Theologo",Octavo,,1582,1582,Lyon,Annotated original text,"45.758888888, 4.841388888",Italian,"Sacrobosco, Johannes de;Giuntini, Francesco","Béraud, Symphorien"
http://sphaera.mpiwg-berlin.mpg.de/id/item/11417c32-ee2f-43cd-a032-d5ead5bd8069,2190,Speculum astrologiae,Folio,,1583,1583,Lyon,Annotated original text and compilation of texts,"45.758888888, 4.841388888",Latin,"Sacrobosco, Johannes de;Peuerbach, Georg von;Giuntini, Francesco","Béraud, Symphorien"
http://sphaera.mpiwg-berlin.mpg.de/id/item/b0a25087-43b9-4aee-9c4e-e6ab9b792bf0,2159,Novae quaestiones sphaericae,Octavo,,1583,1583,Wittenberg,Adaption (treatise strongly influenced by original tract),"51.8671, 12.6484",Latin,"Dietrich, Sebastian","Welack, Matthaeus"
http://sphaera.mpiwg-berlin.mpg.de/id/item/c5f019c7-0b2c-49bf-8253-bc000a0fe0e5,2246,Rerum naturalium doctrina methodica,Octavo,,1583,1583,London,Adaption (treatise strongly influenced by original tract),"51.507222222, -0.1275",Latin,"Scribonius, Wilhelm Adolf","Harrison, John"
http://sphaera.mpiwg-berlin.mpg.de/id/item/68c98af8-ff28-4efc-8188-f54d4fbb7eab,2248,Rerum naturalium doctrina methodica,Octavo,,1583,1583,London,Adaption (treatise strongly influenced by original tract),"51.507222222, -0.1275",Latin,"Scribonius, Wilhelm Adolf","Bishop, George"
http://sphaera.mpiwg-berlin.mpg.de/id/item/9a9296d8-73f9-4959-b01a-ce257c90209a,1739,La Sphere de Iean de Sacrobosco,Octavo,,1584,1584,Paris,Annotated original text,"48.856577777, 2.351827777",French,"Sacrobosco, Johannes de;Des Bordes, Guillaume","Marnef, Jérôme de;Widow of Guillaume Cavellat (Denise de Marnef)"
http://sphaera.mpiwg-berlin.mpg.de/id/item/80386c4d-822d-45f4-93e1-8f92d8b5d0a5,1840,De sphaera,Octavo,,1584,1584,Antwerp,Adaption (treatise strongly influenced by original tract),"51.217777777, 4.400277777",Latin,"Dodoens, Rembert","Plantin, Christophe"
http://sphaera.mpiwg-berlin.mpg.de/id/item/a9a94b21-1df3-460e-96e5-fc6ed0974f3c,1741,"Sphaera Ioannis de Sacrobosco, emendata",Octavo,,1584,1584,Paris,Annotated original text and compilation of texts,"48.856577777, 2.351827777",Latin,"Sacrobosco, Johannes de;Vinet, Élie;Nunes, Pedro;Valeriano, Pierio","Marnef, Jérôme de;Widow of Guillaume Cavellat (Denise de Marnef)"
http://sphaera.mpiwg-berlin.mpg.de/id/item/7a8da8c1-dbd3-4510-9953-da68096f835b,2223,The Arte of Navigation,Quarto,,1584,1584,London,Adaption (treatise strongly influenced by original tract),"51.507222222, -0.1275",English,"Cortès, Martin;Eden, Richard",Widow of Richard Jugge (Joan Jugge)
http://sphaera.mpiwg-berlin.mpg.de/id/item/c3238180-5142-4efa-b8e2-9baa0956e9c0,2069,La sfera del mondo di M. Alessandro Piccolomini,Quarto,,1584,1589,Venice,Adaption (treatise strongly influenced by original tract),"45.43713, 12.33265",Italian,"Piccolòmini, Alessandro","Varisco, Giovanni & Paganini, Paganino"
http://sphaera.mpiwg-berlin.mpg.de/id/item/5160d3aa-9337-4827-a1d3-00a32c8ec471,1808,Christophori Clauii Bambergensis ex Societate Iesu in Sphaeram Ioannis de Sacro Bosco commentarius,Quarto,,1585,1585,Rome,Annotated original text,"41.893055555, 12.482777777",Latin,"Sacrobosco, Johannes de;Clavius, Christoph","Basa, Domenico"
